category,Average Reordering,Minimum Reordering,Maximum Reordering,Median Reordering
1 Sep 2022,3,3,3,3
2 Sep 2022,3,3,3,3
3 Sep 2022,3,3,3,3
4 Sep 2022,3,3,3,3
5 Sep 2022,3,3,3,3
6 Sep 2022,3,3,3,3
7 Sep 2022,3,3,3,3
8 Sep 2022,3,3,3,3
9 Sep 2022,3,3,3,3
10 Sep 2022,3,3,3,3
11 Sep 2022,0,0,0,0
12 Sep 2022,3,3,3,3
13 Sep 2022,3,3,3,3
14 Sep 2022,3,3,3,3
15 Sep 2022,3,3,3,3
16 Sep 2022,3,3,3,3
17 Sep 2022,3,3,3,3
18 Sep 2022,3,3,3,3
19 Sep 2022,3,3,3,3
20 Sep 2022,3,3,3,3
21 Sep 2022,3,3,3,3
22 Sep 2022,3,3,3,3
23 Sep 2022,3,3,3,3
24 Sep 2022,3,3,3,3
25 Sep 2022,3,3,3,3
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
