category,Average Reordering,Minimum Reordering,Maximum Reordering,Median Reordering
1 Oct 2021,3,3,3,3
2 Oct 2021,0,0,0,0
3 Oct 2021,3,3,3,3
4 Oct 2021,3,3,3,3
5 Oct 2021,3,3,3,3
6 Oct 2021,3,3,3,3
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,3,3,3,3
12 Oct 2021,3,3,3,3
13 Oct 2021,3,3,3,3
14 Oct 2021,3,3,3,3
15 Oct 2021,3,3,3,3
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,3,3,3,3
20 Oct 2021,3,3,3,3
21 Oct 2021,0,0,0,0
22 Oct 2021,3,3,3,3
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,3,3,3,3
26 Oct 2021,3,3,3,3
27 Oct 2021,3,3,3,3
28 Oct 2021,3,3,3,3
29 Oct 2021,3,3,3,3
30 Oct 2021,3,3,3,3
31 Oct 2021,3,3,3,3
