category,Average SndMSS,Minimum SndMSS,Maximum SndMSS,Median SndMSS
1 Oct 2021,1400,1400,1400,1400
2 Oct 2021,0,0,0,0
3 Oct 2021,1338,1338,1338,1338
4 Oct 2021,1400,1400,1400,1400
5 Oct 2021,1400,1400,1400,1400
6 Oct 2021,1399.7438,1399.7438,1399.7438,1399.7438
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,1400,1400,1400,1400
12 Oct 2021,1400,1400,1400,1400
13 Oct 2021,1400,1400,1400,1400
14 Oct 2021,1399.0746,1399.0746,1399.0746,1399.0746
15 Oct 2021,1400,1400,1400,1400
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,1400,1400,1400,1400
20 Oct 2021,1400,1400,1400,1400
21 Oct 2021,0,0,0,0
22 Oct 2021,1400,1400,1400,1400
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,1428,1428,1428,1428
26 Oct 2021,1397.4521,1397.4521,1397.4521,1397.4521
27 Oct 2021,1376.75,1376.75,1376.75,1376.75
28 Oct 2021,1402.8293,1402.8293,1402.8293,1402.8293
29 Oct 2021,1373.6818,1373.6818,1373.6818,1373.6818
30 Oct 2021,1338,1338,1338,1338
31 Oct 2021,1338,1338,1338,1338
