category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Jun 2022,0,0,0,0
2 Jun 2022,0,0,0,0
3 Jun 2022,0.1379,0.1379,0.1379,0.1379
4 Jun 2022,0,0,0,0
5 Jun 2022,0,0,0,0
6 Jun 2022,0,0,0,0
7 Jun 2022,0,0,0.0125,0
8 Jun 2022,0.0351,0.0175,0.0526,0.0351
9 Jun 2022,0,0,0,0
10 Jun 2022,0.0769,0.0769,0.0769,0.0769
11 Jun 2022,0,0,0.0149,0
12 Jun 2022,0.0192,0.0192,0.0192,0.0192
13 Jun 2022,0,0,0,0
14 Jun 2022,0,0,0.023,0
15 Jun 2022,0,0,0,0
16 Jun 2022,0,0,0,0
17 Jun 2022,0,0,0,0
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
