category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Jan 2022,0,0,0.0476,0
2 Jan 2022,0,0,0.0952,0
3 Jan 2022,0,0,0,0
4 Jan 2022,0,0,0.0167,0
5 Jan 2022,0,0,0,0
6 Jan 2022,0,0,0.0133,0
7 Jan 2022,0,0,0,0
8 Jan 2022,0,0,0,0
9 Jan 2022,0,0,0,0
10 Jan 2022,0,0,0.025,0
11 Jan 2022,0,0,0.0286,0
12 Jan 2022,0,0,0.0494,0
13 Jan 2022,0.0435,0,0.2174,0
14 Jan 2022,0,0,0,0
15 Jan 2022,0,0,0.0909,0.0455
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,0,0,0.0263,0
19 Jan 2022,0,0,0.0465,0.0233
20 Jan 2022,0,0,0,0
21 Jan 2022,0,0,0,0
22 Jan 2022,0,0,0.0152,0
23 Jan 2022,0.0217,0,0.0435,0
24 Jan 2022,0,0,0.04,0
25 Jan 2022,0,0,0,0
26 Jan 2022,0,0,0.0149,0
27 Jan 2022,0,0,0.0213,0
28 Jan 2022,0,0,0,0
29 Jan 2022,0,0,0.0952,0
30 Jan 2022,0,0,0,0
31 Jan 2022,0,0,0.2,0
