category,Average SndMSS,Minimum SndMSS,Maximum SndMSS,Median SndMSS
1 Mar 2022,1374.1389,1374.1389,1374.1389,1374.1389
2 Mar 2022,1399.8889,1399.8889,1399.8889,1399.8889
3 Mar 2022,0,0,0,0
4 Mar 2022,1349.0714,1349.0714,1349.0714,1349.0714
5 Mar 2022,1338,1338,1338,1338
6 Mar 2022,1340.7761,1340.7761,1340.7761,1340.7761
7 Mar 2022,1367.1765,1367.1765,1367.1765,1367.1765
8 Mar 2022,1362.5116,1362.5116,1362.5116,1362.5116
9 Mar 2022,1360.7333,1360.7333,1360.7333,1360.7333
10 Mar 2022,1372.4444,1372.4444,1372.4444,1372.4444
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,1375.5,1375.5,1375.5,1375.5
14 Mar 2022,1338,1338,1338,1338
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,1377.6,1377.6,1377.6,1377.6
18 Mar 2022,1369.7949,1369.7949,1369.7949,1369.7949
19 Mar 2022,1354.9091,1354.9091,1354.9091,1354.9091
20 Mar 2022,1338,1338,1338,1338
21 Mar 2022,1400,1400,1400,1400
22 Mar 2022,1402.1538,1402.1538,1402.1538,1402.1538
23 Mar 2022,1384.5,1384.5,1384.5,1384.5
24 Mar 2022,1369.6889,1369.6889,1369.6889,1369.6889
25 Mar 2022,1376.3273,1376.3273,1376.3273,1376.3273
26 Mar 2022,1338,1338,1338,1338
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,1379.2083,1379.2083,1379.2083,1379.2083
