category,Average Reordering,Minimum Reordering,Maximum Reordering,Median Reordering
1 Apr 2022,3,3,3,3
2 Apr 2022,3,3,3,3
3 Apr 2022,3,3,3,3
4 Apr 2022,3.1765,3.1765,3.1765,3.1765
5 Apr 2022,3.087,3.0652,3.087,3.087
6 Apr 2022,3,3,3,3
7 Apr 2022,3,3,3,3
8 Apr 2022,3,3,3,3
9 Apr 2022,3,3,3,3
10 Apr 2022,3,3,3,3
11 Apr 2022,3,3,3,3
12 Apr 2022,3.0141,3.0141,3.0141,3.0141
13 Apr 2022,3,3,3,3
14 Apr 2022,3,3,3,3
15 Apr 2022,3,3,3,3
16 Apr 2022,3,3,3,3
17 Apr 2022,3,3,3,3
18 Apr 2022,3.0476,3.0476,3.0476,3.0476
19 Apr 2022,3,3,3,3
20 Apr 2022,3,3,3,3
21 Apr 2022,3,3,3,3
22 Apr 2022,3,3,3,3
23 Apr 2022,3,3,3,3
24 Apr 2022,3.0303,3.0303,3.0303,3.0303
25 Apr 2022,3,3,3,3
26 Apr 2022,3,3,3,3
27 Apr 2022,3,3,3,3
28 Apr 2022,3,3,3,3
29 Apr 2022,3,3,3,3
30 Apr 2022,3,3,3,3
